EFO:0000274	atopic eczema
EFO:0007660	neuroticism measurement
EFO:0007785	femoral neck bone mineral density
EFO:0007702	hip bone mineral density
EFO:0007701	spine bone mineral density
EFO:0006790	cerebral amyloid angiopathy
EFO:0009459	ACPA-positive rheumatoid arthritis
EFO:0000404	diffuse scleroderma
EFO:0000717	systemic scleroderma
EFO:1001017	limited scleroderma
EFO:0009094	idiopathic dilated cardiomyopathy
EFO:0005203	eating disorder
EFO:0007744	lung disease severity measurement
EFO:0004710	pelvic organ prolapse
MONDO:0017276	frontotemporal dementia
EFO:0008457	cannabis dependence measurement
EFO:1001926	pathological gambling
EFO:1001925	pneumococcal bacteremia
EFO:0003033	bacteriemia
EFO:0003948	gastroesophageal reflux disease
EFO:0001060	celiac disease
MONDO:0022308	corticobasal degeneration disorder
EFO:0000180	HIV-1 infection
EFO:1001490	late-onset myasthenia gravis
EFO:0004254	membranous glomerulonephritis
MONDO:0005277	migraine disorder
MONDO:0011847	migraine without aura, susceptibility to, 4
EFO:0000699	Sjogren syndrome
EFO:1001928	small intestine neuroendocrine tumor
EFO:0005220	pulmonary neuroendocrine tumor
EFO:1001999	systemic juvenile idiopathic arthritis
EFO:0002609	juvenile idiopathic arthritis
EFO:0007006	depressive symptom measurement
EFO:0000660	polycystic ovary syndrome
EFO:0005413	joint damage measurement
EFO:0007663	childhood aggressive behaviour measurement
EFO:0007679	oppositional defiant disorder measurement
EFO:1001510	specific language impairment
EFO:0004468	glucose measurement
EFO:0004763	p-tau measurement
EFO:0004670	beta-amyloid 1-42 measurement
EFO:0004760	t-tau measurement
EFO:0000712	stroke
MONDO:0018076	tuberculosis
MONDO:0002009	nervousness, generalized anxiety disorder, major depressive disorder
EFO:0004713	FEV/FVC ratio
EFO:0007869	wellbeing measurement
EFO:0007803	guilt measurement, emotional symptom measurement
EFO:0001068	malaria
EFO:0003768	nicotine dependence
EFO:0005681	Staphylococcus aureus infection
EFO:1001489	skin and soft tissue Staphylococcus aureus infection
EFO:1001466	Graves ophthalmopathy
EFO:1001293	collagenous colitis
EFO:1001493	Ischemic stroke, cardiac embolism
EFO:0004240	heroin dependence
MONDO:0005271	allergic disease
EFO:0004705	rheumatoid arthritis, hypothyroidism
EFO:0007927	trait in response to paliperidone, schizophrenia symptom severity measurement
EFO:0005937	longitudinal BMI measurement
EFO:1001434	Tendinopathy
EFO:1002012	ligament rupture
EFO:0007969	cognitive inhibition measurement
MONDO:0004992	response to bevacizumab, overall survival, cancer
EFO:0000275	atrial fibrillation
EFO:0005037	aortic root size
EFO:0004826	anti-neutrophil antibody associated vasculitis
EFO:0004288	rectum cancer, colonic neoplasm
EFO:0004268	sclerosing cholangitis
EFO:0007941	lumbar disc herniation, Sciatica, LDH-related sciatica symptom severity measurement
EFO:0007865	loneliness measurement
EFO:1001504	small vessel stroke
EFO:0005524	large artery stroke
EFO:0005763	pulse pressure measurement
EFO:0007934	response to tenofovir, creatinine clearance measurement
EFO:0000756	survival time, melanoma
EFO:0004286	venous thromboembolism
EFO:0004191	androgenetic alopecia
EFO:0007781	depressive symptom measurement, stressful life event measurement
EFO:1001050	multiple system atrophy
EFO:0008535	post-traumatic stress disorder symptom measurement
EFO:0001065	asthma, endometriosis
EFO:0007804	LDL cholesterol change measurement
EFO:0005423	adolescent idiopathic scoliosis
EFO:0005543	progression free survival, glioma
EFO:0008036	BMI-adjusted fasting blood glucose measurement
EFO:0004326	heart rate
EFO:0007627	airway imaging measurement
EFO:0000384	sex interaction measurement, Crohn's disease
EFO:0003767	inflammatory bowel disease
EFO:1001930	response to steroid, systemic lupus erythematosus, idiopathic osteonecrosis of the femoral head
MONDO:0019438	heart amyloid deposition measurement, AL amyloidosis
EFO:0004749	CCL2 measurement
EFO:0007835	coffee consumption measurement, alcohol dependence measurement
Orphanet:2828	Young adult-onset Parkinsonism
EFO:0004228	trait in response to traditional medicine, drug-induced liver injury
EFO:0004992	Otitis media
EFO:0005213	central corneal thickness
EFO:0003108	essential tremor
EFO:0005055	QRS duration
EFO:0005054	QRS complex
EFO:0007860	aggressive behaviour measurement, ADHD symptom measurement
EFO:0005766	skin fluorescence measurement
EFO:0004695	intraocular pressure measurement
EFO:1002009	macular telangiectasia type 2
EFO:1002006	treatment-resistant hypertension
EFO:0004606	gallbladder neoplasm
EFO:0006501	carotid plaque build
EFO:0004518	creatinine measurement
EFO:0004741	blood urea nitrogen measurement
EFO:0005410	tooth agenesis
EFO:1001870	late-onset Alzheimers disease
EFO:0004708	nodular sclerosis Hodgkin lymphoma
EFO:1002031	Hodgkins lymphoma, mixed cellularity
EFO:0004746	lipoprotein-associated phospholipase A(2) measurement
EFO:0008433	pursuit maintenance gain measurement
EFO:0008434	initial pursuit acceleration
EFO:0008432	response to darapladib, lipoprotein-associated phospholipase A(2) change measurement
EFO:0006919	response to candesartan, cardiovascular event measurement
EFO:0007536	vesicoureteral reflux
EFO:0004462	PR interval
EFO:0000768	idiopathic pulmonary fibrosis
Orphanet:98974	Fuchs endothelial corneal dystrophy
EFO:0001361	pulmonary arterial hypertension
EFO:0005406	colorectal cancer, colorectal adenoma
EFO:0000095	chronic lymphocytic leukemia
EFO:0000764	HIV infection
EFO:0007949	acute-on-chronic liver failure
EFO:0007933	radius bone mineral density
EFO:0007621	bone mineral content measurement
EFO:1002000	Takotsubo cardiomyopathy
EFO:0000401	diabetic nephropathy
EFO:0005850	emphysema pattern measurement
EFO:0004210	stroke, gallstones
EFO:0001054	leprosy
EFO:0009189	hyperthyroidism
EFO:0009268	family history of Alzheimer’s disease
EFO:1000831	bacterial meningitis
EFO:0010271	pneumococcal meningitis, bacterial pathogen genotype measurement
EFO:1001114	pneumococcal meningitis
EFO:0004255	nephrotic syndrome
EFO:0009270	heel bone mineral density
EFO:0010133	diabetic maculopathy
EFO:0009289	left ventricular mass
EFO:0009286	heart relative wall thickness
EFO:0004985	platelet reactivity measurement
EFO:0010151	soluble triggering receptor expressed on myeloid cells 2 measurement
EFO:0010143	chronic mountain sickness
MONDO:0018906	rheumatoid arthritis, follicular lymphoma
EFO:0009592	social interaction measurement
EFO:0007149	appendicitis
EFO:0007636	attention function measurement
EFO:0004777	alcohol withdrawal
EFO:0004238	hearing loss
EFO:0004149	diabetic foot, neuropathy
EFO:0004273	scoliosis
EFO:0009522	disturbance of skin sensation
EFO:1000749	pemphigus
EFO:0004719	pemphigus vulgaris
EFO:0010120	fasting blood glucose change measurement
EFO:0004593	gestational diabetes
EFO:0005279	temporomandibular joint disorder
EFO:0009363	chronic central serous retinopathy
EFO:0009322	proliferative diabetic retinopathy
EFO:0003770	diabetic retinopathy
EFO:0000284	benign prostatic hyperplasia
EFO:0010125	viral load
EFO:0009331	erosive tooth wear measurement
EFO:0000280	Barrett's esophagus
EFO:0006798	neuritic plaque measurement
EFO:0004242	obsessive-compulsive disorder
EFO:0001421	liver disease
EFO:0004208	Vitiligo
EFO:0004616	osteoarthritis, knee
EFO:1000786	osteoarthritis, hip
EFO:0010229	phosphatidylethanolamine ether measurement
EFO:0010230	phosphatidylinositol measurement
EFO:0010226	phosphatidylcholine measurement
EFO:0010227	phosphatidylcholine ether measurement
EFO:0010228	phosphatidylethanolamine measurement
EFO:0010225	lysophosphatidylethanolamine measurement
EFO:1000881	coronary aneurysm
EFO:0007877	Uterine leiomyoma, risky sexual behaviour measurement
EFO:0009367	glucose metabolism measurement
EFO:0010222	ceramide measurement
EFO:0010223	diglyceride measurement
EFO:0010224	lysophosphatidylcholine measurement
EFO:1001209	temporal arteritis
EFO:0005843	cortisol measurement
EFO:0009587	anhedonia measurement
EFO:1001486	primary biliary cirrhosis
EFO:0008475	mood instability measurement
EFO:0010445	cocaine use disorder
EFO:0010178	non-lobar intracerebral hemorrhage
EFO:0010177	lobar intracerebral hemorrhage
HP:0020046	Accommodative esotropia
MONDO:0001020	amblyopia
MONDO:0004891	hyperopia
HP:0031760	Non-accomodative esotropia
EFO:0004244	interstitial lung disease
MONDO:0010826	childhood absence epilepsy
MONDO:0009696	juvenile myoclonic epilepsy
EFO:0004263	partial epilepsy
EFO:0005917	generalised epilepsy
EFO:1000826	atrophic gastritis
EFO:0005411	bipolar disorder, schizophrenia, schizoaffective disorder
EFO:0010126	time to first cigarette measurement
EFO:0008398	T wave morphology measurement
EFO:0009178	neurofilament light chain measurement
MONDO:0002491	mental or behavioural disorder, substance abuse
EFO:0003912	ankle brachial index
EFO:0010068	response to corticosteroid, response to salmeterol, respiratory symptom change measurement
EFO:1001243	Exercise induced anaphylaxis, wheat allergic reaction
EFO:0000731	age at first birth measurement, uterine fibroid
EFO:0004234	erectile dysfunction
EFO:0010553	cocaine use measurement
EFO:1001482	response to trastuzumab, cardiotoxicity
MONDO:0005405	childhood onset asthma
EFO:0004701	alcohol dependence, heroin dependence, methamphetamine dependence
EFO:0009332	executive function measurement
EFO:0004466	Headache, fasting blood insulin measurement
EFO:0004735	serum alanine aminotransferase measurement
EFO:0009896	thyroid peroxidase antibody measurement, anti-thyroglobulin antibody measurement
EFO:0004736	aspartate aminotransferase measurement
EFO:0003047	seropositivity measurement, hepatitis C virus infection
EFO:0007783	mosaic loss of chromosome Y measurement
EFO:0009963	bipolar II disorder, bipolar I disorder
EFO:0009964	bipolar II disorder
EFO:0009965	Schizoaffective disorder-bipolar type
MONDO:0005041	glaucoma
EFO:0004644	TPE interval measurement
EFO:0007707	cerebral amyloid deposition measurement
EFO:0003931	bone fracture
EFO:0008373	left ventricular ejection fraction measurement
EFO:0007208	Churg-Strauss syndrome
EFO:0003923	bone density
MONDO:0015337	isolated craniosynostosis
EFO:0008511	metopic craniosynostosis
EFO:0004830	brain volume measurement, caudate nucleus volume
EFO:0010221	systemising measurement
EFO:1001857	Takayasu arteritis
EFO:0009863	anxiety measurement
EFO:0004262	panic disorder
EFO:0004211	Hypertriglyceridemia
EFO:0003144	heart failure
EFO:0007802	obsessive-compulsive symptom measurement
MONDO:0004976	amyotrophic lateral sclerosis
EFO:0007979	childhood trauma measurement
EFO:1001976	cardioembolic stroke
EFO:0007135	adult-onset Still's disease
MONDO:0043424	digestive system infectious disorder
EFO:0009523	fecal incontinence
EFO:0005000	leptin measurement
EFO:0004980	appendicular lean mass
EFO:0005773	retinal detachment
EFO:0010698	retinal detachment, retinal break
EFO:0005240	rhegmatogenous retinal detachment
MONDO:0016158	narcolepsy-cataplexy syndrome
EFO:0005243	myeloperoxidase measurement
EFO:0005918	osteoprotegerin measurement
EFO:0004617	cystatin C measurement
EFO:0004253	nephrolithiasis
MONDO:0003783	response to dimethyl fumarate, lymphopenia
EFO:0004469	Headache, HOMA-B
EFO:0004501	Headache, HOMA-IR
MONDO:0004892	refractive error
EFO:1000024	chronic rhinosinusitis
EFO:0004698	insomnia
EFO:0010699	diffuse plaque measurement
EFO:0001422	cirrhosis of liver
EFO:0007620	volumetric bone mineral density
EFO:0007052	attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement
EFO:0000094	B-cell acute lymphoblastic leukemia
MONDO:0000327	Buruli ulcer disease
EFO:0006792	Lewy body dementia
EFO:0004277	brain infarction
EFO:0003780	Behcet's syndrome
EFO:0009001	Mastocytosis
EFO:1002040	Corneal astigmatism
EFO:0000198	myelodysplastic syndrome
EFO:0007795	anxiety disorder measurement
EFO:0007885	JT interval
EFO:0009707	fractures, ununited
EFO:0010576	liver fibrosis measurement
EFO:0010638	atopic asthma
EFO:0008573	alcoholic liver disease
EFO:0000319	cardiovascular disease
MONDO:0016642	meningioma
MONDO:0015474	cryptosporidiosis
EFO:1000637	acute respiratory distress syndrome
EFO:0009266	refractory celiac disease
EFO:0009179	beta-secretase 1 measurement
EFO:0005140	autoimmune disease
EFO:0009549	female reproductive system disease
EFO:0009321	diabetic macular edema
EFO:0005298	allergic sensitization measurement
EFO:0006805	word list delayed recall measurement
EFO:0000557	juvenile dermatomyositis
EFO:0003063	polymyositis
EFO:0000783	myositis
EFO:0000400	diabetes mellitus
MONDO:0100096	telomere length, COVID-19
EFO:0008463	glucagon measurement
EFO:0003958	sunburn
EFO:0005424	dyslexia
EFO:0010702	opioid use disorder
EFO:0010723	ocular sarcoidosis
EFO:0000266	aortic stenosis
EFO:0000684	respiratory system disease
EFO:0004256	neuromyelitis optica
EFO:0009584	AQP4-IgG-positive neuromyelitis optica
EFO:0010725	revision of total joint arthroplasty, aseptic loosening
EFO:0009373	response to radiation, edema
EFO:0007614	asthma exacerbation measurement
EFO:0009482	drug allergy
EFO:1000789	osteoarthritis, hand
EFO:0009323	alpha synuclein measurement
EFO:0009345	Hepatitis B virus surface antigen seropositivity
EFO:0005425	Alzheimer disease, language impairment
EFO:0009330	Chlamydia trachomatis seropositivity
EFO:0004832	optic disc size measurement
EFO:0010557	lactose tolerance test
EFO:0009324	chronic kidney disease, APOL1 risk genotype carrier status
NCIT:C117245	quality of life during menstruation measurement, decreased attention
NCIT:C95746	quality of life during menstruation measurement, sleepiness
EFO:0004608	cystic fibrosis associated meconium ileus
EFO:0003870	brain aneurysm
EFO:0004895	Tourette syndrome
EFO:0008419	susceptibility to chronic sinus infection measurement
EFO:0008418	susceptibility to rubella infection measurement
EFO:1002013	alcoholic pancreatitis
EFO:0008003	heart rate variability measurement
MONDO:0015397	craniofacial microsomia
EFO:0000621	neuroblastoma
EFO:0001357	sporadic amyotrophic lateral sclerosis
EFO:0002686	atopy
EFO:1001249	non-alcoholic steatohepatitis
EFO:0004775	Stevens-Johnson syndrome, toxic epidermal necrolysis
EFO:1002003	response to reverse transcriptase inhibitor, hypersensitivity reaction disease
EFO:0007983	HIV-associated neurocognitive disorder, asymptomatic neurocognitive impairment
EFO:0007982	HIV-associated neurocognitive disorder, mild neurocognitive disorder
EFO:0007948	HIV-associated neurocognitive disorder
EFO:0004520	ICAM-1 measurement
MONDO:0005351	irritable bowel syndrome, anorexia nervosa
EFO:0004192	alopecia areata
EFO:1001459	diabetic foot
EFO:0004471	insulin sensitivity measurement
MONDO:0016581	conotruncal heart malformations
EFO:0005938	congenital left-sided heart lesions
EFO:0005207	congenital heart disease
EFO:1002019	oligoarticular juvenile idiopathic arthritis
EFO:0007708	t-tau:beta-amyloid 1-42 ratio measurement
EFO:0008421	non-alcoholic fatty liver disease severity measurement
EFO:0008388	gamma wave measurement
EFO:0001365	age-related macular degeneration
EFO:0004237	Graves disease
EFO:0003779	Hashimoto's thyroiditis
EFO:0008400	susceptibility to chickenpox measurement
EFO:0008401	susceptibility to shingles measurement
EFO:0008402	susceptibility to cold sores measurement
EFO:0008404	susceptibility to mumps measurement
EFO:0008406	susceptibility to plantar warts measurement
EFO:0008411	susceptibility to bacterial meningitis measurement
EFO:0008412	susceptibility to vaginal yeast infection measurement
EFO:0008417	susceptibility to common cold measurement
EFO:0008415	susceptibility to hepatitis A infection measurement
EFO:0008416	susceptibility to rheumatic fever measurement
EFO:0008414	susceptibility to measles measurement
EFO:1001253	trait in response to phenytoin, maculopapular eruption
EFO:0008536	anti-centromere-antibody-positive systemic scleroderma
EFO:0008537	anti-topoisomerase-I-antibody-positive systemic scleroderma
EFO:0007790	Epstein Barr virus nuclear antigen 1 IgG measurement
EFO:0009271	Epstein Barr virus nuclear antigen-1 seropositivity
EFO:0009272	Epstein Barr viral capsid antigen seropositivity
EFO:0009273	anti-Epstein Barr virus antibody measurement
EFO:0010559	response to interferon-beta, anti-drug antibody measurement
EFO:0004266	primary ovarian insufficiency
EFO:1000566	Testicular Germ Cell Tumor
EFO:0002689	antiphospholipid syndrome
EFO:0007191	cannabis dependence
MONDO:0019338	sarcoidosis
EFO:1000764	seborrheic dermatitis
EFO:0008403	susceptibility to mononucleosis measurement
EFO:0008405	susceptibility to hepatitis B infection measurement
EFO:0008409	susceptibility to scarlet fever measurement
EFO:0008410	susceptibility to pneumonia measurement
EFO:0008413	susceptibility to urinary tract infection measurement
EFO:0008408	susceptibility to strep throat measurement
EFO:0008000	peak insulin response measurement
EFO:0006831	glucose homeostasis measurement, acute insulin response measurement
EFO:0008001	insulin secretion measurement
EFO:0006832	disposition index measurement
EFO:0004514	bone quantitative ultrasound measurement
EFO:1001161	rheumatic heart disease
EFO:0003898	Sacroiliac arthritis, ankylosing spondylitis
EFO:0004599	acute graft vs. host disease
EFO:0005128	albumin:globulin ratio measurement
EFO:0005924	binge eating
EFO:0009598	feeling miserable measurement
EFO:0009595	guilt measurement
EFO:0009589	worry measurement
EFO:0009588	feeling "fed-up" measurement
EFO:0009599	feeling emotionally hurt measurement
EFO:0009596	feeling tense measurement
EFO:0005527	ejection fraction measurement
EFO:0009285	fractional shortening
EFO:0008390	prothrombin time measurement
EFO:1002021	ankle injury
EFO:0009594	irritability measurement
EFO:0009597	feeling nervous measurement
NCIT:C74532	nervousness
EFO:0003902	spinal fracture
EFO:1001506	primary angle closure glaucoma
EFO:0007830	eating behaviour, food addiction measurement
MONDO:0016820	Moyamoya disease
EFO:1002029	chronic rhinosinusitis with nasal polyps
EFO:0008467	behavioural inhibitory control measurement
EFO:0008476	delayed reward discounting measurement
EFO:1001494	psoriasis vulgaris
EFO:0004229	Dupuytren Contracture
EFO:0004696	sex hormone-binding globulin measurement
EFO:0008368	infant grey matter volume measurement
EFO:0004860	common carotid intimal medial thickness
EFO:1000802	alcoholic liver cirrhosis
EFO:0003890	drug dependence
EFO:0000398	dermatomyositis
EFO:1001929	selective IgA deficiency disease
EFO:0008473	insulin sensitivity measurement, insulin response measurement
EFO:0008469	B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio
EFO:0008468	midregional pro atrial natriuretic peptide measurement
EFO:0004745	NT-proBNP measurement
EFO:0006920	BNP measurement
EFO:0004246	mucocutaneous lymph node syndrome
EFO:0008532	clinically amyopathic dermatomyositis
EFO:0004573	chemerin measurement
EFO:1000965	Henoch-Schoenlein purpura
EFO:0008379	P wave terminal force measurement
EFO:0005094	P wave duration
EFO:0000220	acute lymphoblastic leukemia
EFO:0000769	antibody measurement, Epstein-Barr virus infection
EFO:0007741	QRS amplitude, R wave amplitude
Orphanet:391311	HIV-1 infection, Susceptibility to viral and mycobacterial infections
EFO:0005239	aortic stenosis, aortic valve calcification
EFO:0009087	non-typhoidal Salmonella bacteremia
MONDO:0004907	alopecia
EFO:0000278	pancreatitis
EFO:0000405	trait in response to thiopurine, digestive system disease
EFO:0003928	necrotizing enterocolitis
EFO:1000481	Plantar Fasciitis, Plantar Fibromatosis
EFO:0004993	serum IgM measurement
EFO:0009010	HSV2 virologic severity measurement
EFO:1001483	non-obstructive coronary artery disease
EFO:1000783	diabetic neuropathy
EFO:0010977	macrovascular complications of diabetes
EFO:0009486	diabetic eye disease
EFO:0010821	liver fat measurement
EFO:0004257	neurotic disorder
EFO:1002011	adult onset asthma
EFO:0006845	liver fat measurement, liver disease biomarker
EFO:0007793	BMI-adjusted leptin measurement
EFO:0009458	alcohol use disorder measurement
EFO:0004328	exercise test
EFO:0006812	autoimmune thyroid disease
EFO:0005194	amyloid-beta measurement
MONDO:0005475	migraine with aura
EFO:0010934	aspartate aminotransferase to alanine aminotransferase ratio
EFO:0010819	clonal hematopoiesis
EFO:1001289	Cholecystitis, Acute
EFO:0009953	response to surgery, post-operative myocardial infarction
EFO:0009954	response to surgery, post-operative delirium
EFO:0010820	spontaneous coronary artery dissection
EFO:0000677	age at diagnosis, mental or behavioural disorder
MONDO:0021187	hyperlipidemia
EFO:0004269	cardiac arrhythmia
EFO:1000811	anterior uveitis
EFO:0003882	osteoporosis
EFO:0004327	electrocardiography
EFO:0600041	serum clozapine measurement
EFO:0600043	serum N-desmethylclozapine measurement
EFO:0600042	serum clozapine-to-N-desmethylclozapine ratio measurement
EFO:0011023	concussion
MONDO:0019171	familial long QT syndrome
EFO:1001178	shoulder impingement syndrome
EFO:1000886	cutaneous mastocytosis
MONDO:0016586	systemic mastocytosis
EFO:0004517	arterial stiffness measurement
EFO:0010822	stenosing tenosynovitis
EFO:0004278	sudden cardiac arrest
EFO:0004247	mood disorder
EFO:0000464	emphysema
EFO:0004226	Creutzfeldt Jacob Disease
EFO:0004213	otosclerosis
EFO:0004913	lentiform nucleus measurement
EFO:0004795	skin sensitivity to sun
EFO:0005129	hepatitis C induced liver cirrhosis
EFO:0004707	infantile hypertrophic pyloric stenosis
EFO:0000765	AIDS
EFO:0004267	biliary liver cirrhosis
EFO:0006338	pit and fissure surface dental caries
EFO:0006339	smooth surface dental caries
EFO:0005196	vasoactive peptide measurement
EFO:0003926	neuropsychological test
EFO:0004243	carcinoid tumor
EFO:0004209	hypospadias
EFO:0004815	alpha macroglobulin measurement
EFO:0003956	seasonal allergic rhinitis
EFO:0004772	early onset hypertension
EFO:0004212	Keloid
MONDO:0008867	biliary atresia
EFO:0004864	renal sinus adipose tissue measurement
EFO:0005126	arylesterase enzyme measurement
EFO:0004511	femoral neck bone geometry
EFO:0005131	HVA measurement
EFO:0005133	HVA measurement, MHPG measurement
EFO:0004994	lumbar disc degeneration
EFO:0000279	azoospermia
EFO:0004510	HPV seropositivity
MONDO:0000358	orofacial cleft
MONDO:0019037	progressive supranuclear palsy
EFO:0004537	neonatal systemic lupus erythematosus
EFO:0005139	serum ceruloplasmin measurement
EFO:0004227	Dengue Hemorrhagic Fever
EFO:0005246	hypersomnia
EFO:0000625	nevus
EFO:0004806	lung carcinoma, asbestos exposure measurement
EFO:0000668	preeclampsia
EFO:1001492	atrophic macular degeneration
EFO:0004259	age at diagnosis, osteonecrosis
EFO:0004284	upper aerodigestive tract neoplasm
EFO:0004345	corneal topography
EFO:0004789	atrial natriuretic factor measurement
EFO:0004846	serotonin measurement
EFO:0003757	Asperger syndrome
EFO:0004831	RR interval
EFO:0004785	neuroimaging measurement, South Texas Assessment of Neurocognition
EFO:0005242	methamphetamine-induced psychosis
MONDO:0016243	hemoglobin E disease
EFO:0004225	Coronary Vasospasm
EFO:0005053	internal carotid intimal medial thickness
EFO:0004550	amygdala reactivity measurement
EFO:0004569	brain serotonin transporter measurement
EFO:0000574	lymphoma
EFO:0000540	immune system disease
EFO:0000096	neoplasm of mature B-cells
EFO:0005095	PR segment
EFO:0004519	adhesion molecule measurement, soluble P-selectin measurement
EFO:0005269	congenital heart malformation
EFO:0000407	dilated cardiomyopathy
EFO:0004236	focal segmental glomerulosclerosis
EFO:0004720	prion disease
EFO:0004572	C4BP measurement
MONDO:0009061	cystic fibrosis
EFO:0004642	cortisol secretion measurement
EFO:0005321	molar-incisor hypomineralization
EFO:0005416	serum ST2 measurement
EFO:0003839	retinopathy
EFO:0003086	kidney disease
EFO:0004609	treatment refractory schizophrenia
EFO:0004194	IGA glomerulonephritis
EFO:0004224	Coronary Restenosis
EFO:0003867	response to statin, rhabdomyolysis
EFO:0004607	duodenal ulcer
EFO:0004261	osteitis deformans
EFO:0002608	AIDS dementia
EFO:0005400	chemotherapy-induced alopecia
EFO:0004313	maximal midexpiratory flow rate
MONDO:0019201	Graves disease, thyrotoxic periodic paralysis
EFO:0001062	schizophrenia, cytomegalovirus infection
EFO:0006319	HIV viral set point measurement
EFO:0003778	psoriatic arthritis
EFO:0004507	D dimer measurement
EFO:0005204	bulimia nervosa
MONDO:0018150	Gaucher disease
EFO:0005252	orthostatic hypotension
EFO:0004230	colorectal cancer, endometrial neoplasm
EFO:0004280	movement disorder
EFO:0010352	diacylglycerol 34:1 measurement
